Date,Base Order ID,Order Source,State,Base SKU,Quantity,Value,,
21/02/2026 14:38,14931667,Meesho Ak Kurtis,,ISCA-382ra-ONION-M,1,0,,
21/02/2026 8:28,14918430,Meesho Ak Kurtis,,ISCA-382ra-ONION-M,1,0,,
20/02/2026 16:53,14898753,Meesho Ak Kurtis,,ISCA-382ra-ONION-M,1,0,,
20/02/2026 11:14,14888402,Meesho Ak Kurtis,,ISCA-382ra-ONION-M,1,0,,
21/02/2026 22:29,14948571,Meesho Ak Kurtis,,ISCA-382ra-ONION-L,1,0,,
21/02/2026 21:55,14947368,Meesho Ak Kurtis,,ISCA-382ra-ONION-L,1,0,,
21/02/2026 15:51,14977435,Flipkart AGM,Bihar,ISCA-376a-BROWN-S,1,382,,
21/02/2026 11:50,14977420,Flipkart AGM,Jharkhand,ISCA-367b-MAROON-M,1,241,,
21/02/2026 16:09,14935392,Meesho AGM Fashion,,ISCA-345c-MAROON-XL,1,0,,
21/02/2026 19:31,14977455,Flipkart AGM,Delhi,ISCA-345a-MAROON-S,1,292,,
21/02/2026 15:45,14934386,Meesho Ransh,,ISCA-340WINE-XLXL,1,0,,
20/02/2026 11:20,14888607,FK Ransh,Uttar Pradesh,ISCA-337-MUSTARD-SKY-FAITH-M,1,266.5,,
20/02/2026 17:06,14899188,Meesho AGM Fashion,,ISCA-329-ROYALBLUE-L,1,0,,
20/02/2026 17:05,14899142,Meesho AGM Fashion,,ISCA-329-ROYALBLUE-L,1,0,,
21/02/2026 23:58,14951316,FK Ransh,Uttar Pradesh,ISCA-328wine-blk-M,1,326.5,,
21/02/2026 0:29,14912302,FK Ransh,Gujarat,ISCA-328wine-blk-M,1,326.5,,
21/02/2026 12:26,14926405,Meesho Ak Kurtis,,ISCA-328ROYALBLUE-S,1,0,,
21/02/2026 11:28,14924186,FK Ransh,Maharashtra,ISCA-328ROYALBLUE-M,1,167,,
20/02/2026 16:19,14897834,FK Ransh,Bihar,ISCA-328ROYALBLUE-M,1,182,,
20/02/2026 11:47,14889373,FK Ransh,Bihar,ISCA-328ROYALBLUE-M,1,182,,
21/02/2026 11:43,14924751,Meesho Ak Kurtis,,ISCA-328MAROON-XL,1,0,,
21/02/2026 17:29,14938031,Meesho Ak Kurtis,,ISCA-328MAROON-M,1,0,,
21/02/2026 16:04,14935188,FK Ransh,Bihar,ISCA-328BLACK-L,1,193,,
21/02/2026 14:38,14931666,Meesho Ak Kurtis,,ISCA-328-red-blk-L,1,0,,
21/02/2026 19:36,14942210,Meesho AGM Fashion,,ISCA-328-rb-red-L,1,0,,
21/02/2026 14:01,14930200,Meesho AGM Fashion,,ISCA-328-rb-peach-L,1,0,,
21/02/2026 11:19,14923783,Meesho Ransh,,ISCA-328-rb-peach-L,1,0,,
21/02/2026 7:30,14917418,Meesho Ivan,,ISCA-328-rb-peach-L,1,0,,
20/02/2026 18:39,14902337,Meesho Ak Kurtis,,ISCA-328-rb-maroon-M,1,0,,
20/02/2026 14:26,14894033,Meesho Ak Kurtis,,ISCA-328-rb-maroon-M,1,0,,
21/02/2026 13:09,14927990,Meesho Ak Kurtis,,ISCA-328-rb-blk-XL,1,0,,
21/02/2026 23:19,14950295,Meesho AGM Fashion,,ISCA-328-peach-red-XL,1,0,,
21/02/2026 8:45,14918840,Meesho AGM Fashion,,ISCA-328-peach-red-XL,1,0,,
21/02/2026 13:30,14929024,Meesho Ak Kurtis,,ISCA-328-peach-blk-XL,1,0,,
21/02/2026 12:45,14927118,Meesho AGM Fashion,,ISCA-328-maroon-peach-XL,1,0,,
21/02/2026 15:14,14933117,Meesho Ak Kurtis,,ISCA-326-PACKOF3-5,1,0,,
20/02/2026 7:52,14884041,Meesho AGM Fashion,,ISCA-326-PACKOF3-10,1,0,,
20/02/2026 9:55,14886348,FK AGM old,West Bengal,ISCA-315aBLACK,1,93.75,,
21/02/2026 10:37,14922303,Meesho Ivan,,ISCA-303AA_Maroon_-M,1,0,,
21/02/2026 16:04,14935152,Meesho Ak Kurtis,,ISCA-303AA_Black_-M,1,0,,
21/02/2026 18:13,14939368,Meesho AGM Fashion,,ISCA-291SKYBLUE-S,1,0,,
21/02/2026 16:53,14936933,Meesho AGM Fashion,,ISCA-291SKYBLUE-S,1,0,,
20/02/2026 22:26,14909206,Meesho AGM Fashion,,ISCA-291SKYBLUE-M,1,0,,
21/02/2026 9:31,14920114,Meesho AGM Fashion,,ISCA-291SKYBLUE-L,1,0,,
20/02/2026 15:51,14896749,Meesho AGM Fashion,,ISCA-284-BLK-XS,1,0,,
21/02/2026 15:48,14934472,Meesho AGM Fashion,,C04-White-S,1,0,,
20/02/2026 18:16,14901810,Meesho Ak Kurtis,,C03-Peach-XL,1,0,,
20/02/2026 8:51,14884944,FK Ransh,Goa,C03-Green-S,1,399,,
20/02/2026 9:01,14885225,FK Ransh,Uttar Pradesh,C03-Green-L,1,390,,
20/02/2026 0:15,14879659,Meesho AGM Fashion,,C03-Green-L,1,0,,
21/02/2026 22:55,14949421,Meesho Ak Kurtis,,C02-Pink-M,1,0,,
21/02/2026 17:17,14937725,Meesho Ransh,,C02-Black-S,1,0,,
21/02/2026 17:42,14938416,Meesho Ak Kurtis,,C02-Black-M,1,0,,
21/02/2026 20:06,14943388,FK AGM old,West Bengal,C01-Yellow-XL,1,339,,
21/02/2026 10:06,14921267,FK Ransh,Maharashtra,C01-Purple-S,1,313.5,,
21/02/2026 18:22,14939727,Meesho Ransh,,C01-Green-S,1,0,,
21/02/2026 0:46,14912648,Meesho Ak Kurtis,,A80-Peach-XL,1,0,,
21/02/2026 21:00,14945372,Meesho AGM Fashion,,A80-Black-XL,1,0,,
21/02/2026 0:43,14912544,Meesho Ak Kurtis,,A80-Black-XL,1,0,,
21/02/2026 22:12,14947915,FK Ransh,Chandigarh,A80-Black-M,1,577,,
21/02/2026 11:41,14924667,Meesho Ak Kurtis,,A78-Onion-S,1,0,,
20/02/2026 22:46,14909831,Meesho Ak Kurtis,,A78-Onion-S,1,0,,
20/02/2026 0:37,14880057,Meesho AGM Fashion,,A78-Onion-S,1,0,,
20/02/2026 20:48,14906420,Meesho AGM Fashion,,A78-Onion-L,1,0,,
21/02/2026 18:16,14939524,FK Ransh,Karnataka,A77-Purple-M,1,635.5,,
20/02/2026 23:59,14911642,Meesho Ak Kurtis,,A75-Wine-S,1,0,,
21/02/2026 21:01,14945414,Meesho Ak Kurtis,,A75-Wine-L,1,0,,
21/02/2026 18:34,14940103,Meesho Ak Kurtis,,A75-Wine-L,1,0,,
21/02/2026 14:28,14931322,Meesho Ak Kurtis,,A75-Wine-L,1,0,,
20/02/2026 21:06,14906977,Meesho Ak Kurtis,,A75-Aquablue-XL,1,0,,
21/02/2026 5:31,14915970,Meesho AGM Fashion,,A61-Orange-S,1,0,,
21/02/2026 22:21,14948227,Meesho Ak Kurtis,,A53-Navy-XL,1,0,,
21/02/2026 8:27,14918420,FK AGM old,Telangana,A53-Navy-S,1,475,,
20/02/2026 20:45,14906360,FK AGM old,Chhattisgarh,A53-Navy-S,1,447.5,,
21/02/2026 1:00,14912885,FK AGM old,Maharashtra,A53-Navy-L,1,468,,
20/02/2026 12:52,14891145,FK AGM old,West Bengal,A53-Maroon-S,1,443.5,,
21/02/2026 23:09,14949970,FK AGM old,Uttar Pradesh,A53-Maroon-M,1,468,,
20/02/2026 20:12,14905308,Meesho AGM Fashion,,A53-Black-S,1,0,,
20/02/2026 22:52,14909930,FK AGM old,Uttar Pradesh,A53-Black-L,1,447.5,,
21/02/2026 23:07,14950667,Amz AGM,TAMIL NADU,A52-Tealblue-XL,1,393,,
20/02/2026 22:50,14910538,Amz AGM,MAHARASHTRA,A52-Tealblue-M,1,415,,
20/02/2026 8:23,14884989,Amz AGM,ANDHRA PRADESH,A52-Tealblue-M,1,415,,
21/02/2026 13:55,14930067,Meesho AGM Fashion,,A52-Maroon-M,1,0,,
21/02/2026 11:29,14924195,Meesho AGM Fashion,,A52-Maroon-M,1,0,,
21/02/2026 21:28,14946405,Meesho AGM Fashion,,A52-Maroon-L,1,0,,
20/02/2026 21:50,14908176,Meesho AGM Fashion,,A52-Green-M,1,0,,
21/02/2026 8:50,14918950,Meesho AGM Fashion,,A52-Green-L,1,0,,
21/02/2026 8:41,14918750,FK Ransh,Kerala,A52-Black-XL,1,342.5,,
21/02/2026 7:29,14917434,FK AGM old,Madhya Pradesh,A52-Black-L,1,430,,
21/02/2026 19:43,14942358,Meesho Ransh,,A49-Zibra-S,1,0,,
21/02/2026 18:47,14940537,Meesho Ransh,,A49-SkyBlue-S,1,0,,
21/02/2026 10:48,14922693,Meesho Ransh,,A49-SkyBlue-S,1,0,,
20/02/2026 22:35,14909423,Meesho Ransh,,A49-SkyBlue-S,1,0,,
21/02/2026 10:53,14922800,Meesho Ak Kurtis,,A49-SkyBlue-M,1,0,,
20/02/2026 12:36,14890721,Meesho Ransh,,A49-SkyBlue-M,1,0,,
21/02/2026 21:01,14945390,Meesho AGM Fashion,,A49-SkyBlue-L,1,0,,
20/02/2026 21:18,14907298,Meesho Ransh,,A49-SkyBlue-L,1,0,,
20/02/2026 1:30,14880675,Meesho Ransh,,A49-SkyBlue-L,1,0,,
20/02/2026 11:12,14888319,Meesho Ransh,,A49-Cream-S,1,0,,
21/02/2026 15:54,14934658,Meesho Ak Kurtis,,A49-Cream-M,1,0,,
20/02/2026 11:50,14889407,Meesho AGM Fashion,,A49-Cream-M,1,0,,
21/02/2026 14:41,14931752,FK AGM old,Assam,A38-Mustard-S,1,415,,
20/02/2026 20:04,14905087,FK AGM old,Uttar Pradesh,A38-Mustard-S,1,373.5,,
20/02/2026 22:56,14910546,Amz AGM,PUNJAB,A38-Green-M,1,621,,
21/02/2026 23:22,14950939,Amz AGM,UTTARAKHAND,A38-Black-XL,1,604,,
20/02/2026 10:21,14887531,Amz AGM,ODISHA,A38-Black-XL,1,604,,
21/02/2026 22:58,14950385,Amz AGM,ANDHRA PRADESH,A38-Black-M,1,717,,
21/02/2026 21:54,14947255,Meesho Ransh,,A23-Pink-M,1,0,,
20/02/2026 22:45,14909774,Meesho Ak Kurtis,,A23-Pink-L,1,0,,
21/02/2026 0:54,14912765,Meesho Ransh,,390884245XS,1,0,,
21/02/2026 23:13,14950035,Meesho AGM Fashion,,389-Maroon-XL,1,0,,
21/02/2026 23:08,14949956,Meesho Ransh,,389-Maroon-XL,1,0,,
21/02/2026 17:44,14938484,Meesho Ransh,,389-Maroon-XL,1,0,,
20/02/2026 17:07,14899199,Meesho AGM Fashion,,389-Maroon-XL,1,0,,
20/02/2026 1:32,14880694,Meesho AGM Fashion,,389-Maroon-XL,1,0,,
21/02/2026 21:24,14946231,Meesho AGM Fashion,,389-Maroon-S,1,0,,
21/02/2026 20:54,14945169,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 18:50,14940583,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 18:35,14940183,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 17:46,14938607,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 17:34,14938204,Meesho AGM Fashion,,389-Maroon-S,1,0,,
21/02/2026 17:26,14937963,Meesho AGM Fashion,,389-Maroon-S,1,0,,
21/02/2026 16:04,14935131,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 15:58,14934921,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 13:45,14929686,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 13:00,14927612,Meesho AGM Fashion,,389-Maroon-S,1,0,,
21/02/2026 10:50,14922726,Meesho AGM Fashion,,389-Maroon-S,1,0,,
21/02/2026 10:26,14921946,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 7:29,14917417,Meesho AGM Fashion,,389-Maroon-S,1,0,,
21/02/2026 1:31,14913257,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 0:53,14912720,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 0:17,14912089,Meesho Ransh,,389-Maroon-S,1,0,,
20/02/2026 23:55,14911609,Meesho AGM Fashion,,389-Maroon-S,1,0,,
20/02/2026 23:31,14911022,Meesho Ransh,,389-Maroon-S,1,0,,
20/02/2026 23:01,14910171,Meesho Ransh,,389-Maroon-S,1,0,,
20/02/2026 16:20,14897846,Meesho AGM Fashion,,389-Maroon-S,1,0,,
20/02/2026 14:29,14894074,Meesho Ransh,,389-Maroon-S,1,0,,
20/02/2026 11:41,14889139,Meesho AGM Fashion,,389-Maroon-S,1,0,,
20/02/2026 11:24,14888680,Meesho AGM Fashion,,389-Maroon-S,1,0,,
20/02/2026 11:11,14888310,Meesho AGM Fashion,,389-Maroon-S,1,0,,
20/02/2026 10:24,14887021,Meesho AGM Fashion,,389-Maroon-S,1,0,,
20/02/2026 1:30,14880678,Meesho Ransh,,389-Maroon-S,1,0,,
21/02/2026 22:51,14949425,Meesho Ak Kurtis,,389-Black-XL,1,0,,
21/02/2026 5:54,14916542,Meesho Ransh,,389-Black-XL,1,0,,
20/02/2026 8:20,14884469,Meesho Ransh,,389-Black-XL,1,0,,
21/02/2026 21:49,14947131,Meesho Ak Kurtis,,389-Black-S,1,0,,
21/02/2026 20:03,14943080,Meesho Ransh,,389-Black-S,1,0,,
21/02/2026 19:03,14941026,Meesho Ak Kurtis,,389-Black-S,1,0,,
21/02/2026 9:11,14919539,Meesho AGM Fashion,,389-Black-S,1,0,,
20/02/2026 22:20,14909050,Meesho AGM Fashion,,389-Black-S,1,0,,
20/02/2026 11:06,14888232,Meesho AGM Fashion,,389-Black-S,1,0,,
20/02/2026 21:53,14908217,Meesho Ivan,,387-Yellow-M,1,0,,
20/02/2026 21:46,14908104,Meesho Ivan,,387-Yellow-M,1,0,,
21/02/2026 2:37,14913836,Meesho Ivan,,387-Yellow-L,1,0,,
21/02/2026 22:08,14947820,Meesho Ivan,,385-Softpink-XL,1,0,,
21/02/2026 21:23,14946212,FK Ransh,West Bengal,385-Softpink-XL,1,290,,
21/02/2026 14:00,14930182,Meesho Ransh,,385-Softpink-XL,1,0,,
21/02/2026 13:58,14930137,Meesho Ak Kurtis,,385-Softpink-XL,1,0,,
21/02/2026 23:24,14950528,FK Ransh,Maharashtra,385-Softpink-S,1,306,,
21/02/2026 17:54,14938732,Meesho Ak Kurtis,,385-Softpink-S,1,0,,
21/02/2026 17:33,14938141,Meesho Ak Kurtis,,385-Softpink-S,1,0,,
21/02/2026 15:32,14933798,Meesho Ivan,,385-Softpink-S,1,0,,
21/02/2026 11:31,14924241,Meesho Ak Kurtis,,385-Softpink-S,1,0,,
21/02/2026 11:25,14924084,Meesho Ivan,,385-Softpink-S,1,0,,
21/02/2026 10:15,14921541,Meesho Ak Kurtis,,385-Softpink-S,1,0,,
20/02/2026 21:59,14908425,Meesho Ak Kurtis,,385-Softpink-S,1,0,,
20/02/2026 17:51,14900431,Meesho Ak Kurtis,,385-Softpink-S,1,0,,
20/02/2026 12:34,14890610,FK Ransh,Maharashtra,385-Softpink-S,1,297,,
21/02/2026 23:28,14950581,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
21/02/2026 20:59,14945391,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
21/02/2026 19:44,14942442,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
21/02/2026 17:32,14938098,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
21/02/2026 14:20,14930985,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
21/02/2026 14:02,14930215,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
21/02/2026 8:12,14918105,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
20/02/2026 16:26,14898123,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
20/02/2026 16:11,14897469,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
20/02/2026 15:38,14896375,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
20/02/2026 15:37,14896325,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
20/02/2026 15:12,14895434,Meesho Ivan,,385-Maroon-XL,1,0,,
20/02/2026 10:03,14886511,Meesho AGM Fashion,,385-Maroon-XL,1,0,,
20/02/2026 6:51,14883468,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
20/02/2026 3:14,14881373,Meesho Ak Kurtis,,385-Maroon-XL,1,0,,
21/02/2026 23:37,14950852,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 22:44,14949101,FK Ransh,Madhya Pradesh,385-Maroon-S,1,297,,
21/02/2026 22:44,14949065,Meesho AGM Fashion,,385-Maroon-S,1,0,,
21/02/2026 21:56,14947436,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 21:32,14946483,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 21:09,14945699,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 20:57,14945306,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 20:19,14943841,FK Ransh,West Bengal,385-Maroon-S,1,290,,
21/02/2026 19:38,14942256,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 19:22,14941612,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 19:18,14941541,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 19:04,14941019,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 18:37,14940234,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 18:15,14939508,FK Ransh,Madhya Pradesh,385-Maroon-S,1,290,,
21/02/2026 17:59,14938998,FK Ransh,Assam,385-Maroon-S,1,290,,
21/02/2026 17:41,14938408,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 17:29,14938052,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 17:02,14937208,Meesho Ivan,,385-Maroon-S,1,0,,
21/02/2026 16:08,14935374,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 15:43,14934190,Meesho AGM Fashion,,385-Maroon-S,1,0,,
21/02/2026 15:36,14934044,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 15:36,14934018,FK Ransh,Meghalaya,385-Maroon-S,1,306,,
21/02/2026 14:47,14932044,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 14:35,14931585,Meesho Ransh,,385-Maroon-S,1,0,,
21/02/2026 14:31,14931377,Meesho Ivan,,385-Maroon-S,1,0,,
21/02/2026 13:47,14929742,Meesho Ransh,,385-Maroon-S,1,0,,
21/02/2026 13:22,14928564,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 13:08,14927972,Meesho Ivan,,385-Maroon-S,1,0,,
21/02/2026 12:58,14927592,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 12:19,14926122,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 12:17,14926079,Meesho Ak Kurtis,,385-Maroon-S,1,0,,
21/02/2026 12:14,14926015,FK Ransh,Karnataka,385-Maroon-S,1,290,,
